OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OccHU_e19,OccHU_m19,VehicAvail0_e19,VehicAvail0_m19,pVehicAvail0_e19,pVehicAvail0_m19,VehicAvail1_e19,VehicAvail1_m19,pVehicAvail1_e19,pVehicAvail1_m19,VehicAvail2_e19,VehicAvail2_m19,pVehicAvail2_e19,pVehicAvail2_m19,VehicAvail3P_e19,VehicAvail3P_m19,pVehicAvail3P_e19,pVehicAvail3P_m19,SHAPE_Length,SHAPE_Area
452,Central Savannah River Area,No,30813,3546,ZCTA,ZCTA5 30813,13524,730,424,238,3.1,1.8,3326,486,24.6,3.3,6174,686,45.7,4.4,3600,609,26.6,4.3,0.698637167529078,0.0125082022254002
453,Northeast Georgia,Partial,30650,3490,ZCTA,ZCTA5 30650,4542,218,233,118,5.1,2.6,1118,254,24.6,5.5,1895,278,41.7,5.8,1296,248,28.5,5.3,1.83437729709217,0.056374560701792
454,Central Savannah River Area,No,30814,3547,ZCTA,ZCTA5 30814,2692,294,101,83,3.8,3.1,699,176,26,5.9,1033,200,38.4,6.2,859,178,31.9,5.6,0.780571004290487,0.0128506178787936
455,Northeast Georgia,Yes,30655,3491,ZCTA,ZCTA5 30655,9255,406,508,171,5.5,1.8,3094,366,33.4,3.7,3667,380,39.6,3.7,1986,289,21.5,3,1.17139918400228,0.0219829698776104
456,Central Savannah River Area,No,30815,3548,ZCTA,ZCTA5 30815,14163,541,664,228,4.7,1.6,4297,527,30.3,3.5,5082,464,35.9,3,4120,445,29.1,2.9,1.68364198215517,0.0328997968067495
457,Northeast Georgia,Yes,30656,3492,ZCTA,ZCTA5 30656,5428,286,146,84,2.7,1.5,1154,260,21.3,4.7,2099,283,38.7,4.8,2029,328,37.4,5.7,0.800531539547838,0.0177899779503247
458,Central Savannah River Area,No,30816,3549,ZCTA,ZCTA5 30816,794,146,104,79,13.1,9.7,189,80,23.8,9.1,259,84,32.6,8.6,242,114,30.5,13.3,1.63210524516131,0.032944557359697
459,CSRA / NE,No,30660,3493,ZCTA,ZCTA5 30660,374,76,27,24,7.2,6.3,78,38,20.9,9.3,131,55,35,12.7,138,56,36.9,13.1,1.20611463621655,0.0253245880939906
460,Central Savannah River Area,No,30817,3550,ZCTA,ZCTA5 30817,3384,204,249,101,7.4,3,1131,182,33.4,5,992,196,29.3,5.5,1012,164,29.9,4.5,1.63094837305781,0.0588573999773704
461,GM / NE,No,30662,3494,ZCTA,ZCTA5 30662,3350,232,223,69,6.7,2,1258,179,37.6,4.7,984,184,29.4,5.1,885,180,26.4,5,1.07504332608832,0.0205222937978344
462,Central Savannah River Area,No,30818,3551,ZCTA,ZCTA5 30818,241,105,8,18,3.3,7.5,104,104,43.2,39,90,63,37.3,20.6,39,43,16.2,16.5,0.585888511213648,0.00839553177845638
463,Central Savannah River Area,No,30820,3552,ZCTA,ZCTA5 30820,415,88,10,11,2.4,2.7,104,54,25.1,11.8,183,62,44.1,11.6,118,53,28.4,11.2,1.16848269763548,0.021246812602004
464,Central Savannah River Area,No,30821,3553,ZCTA,ZCTA5 30821,376,88,20,26,5.3,6.8,96,50,25.5,11.8,78,45,20.7,10.9,182,70,48.4,14.7,1.21811282027916,0.0261518558086991
465,Central Savannah River Area,No,30822,3554,ZCTA,ZCTA5 30822,287,136,0,18,0,6.4,83,94,28.9,29.6,147,134,51.2,39.7,57,68,19.9,21.8,0.659566353137586,0.00879644193464912
466,Central Savannah River Area,No,30823,3555,ZCTA,ZCTA5 30823,479,109,25,23,5.2,4.7,167,66,34.9,11.2,116,43,24.2,7.2,171,72,35.7,12.5,1.18738757952894,0.0182413104011471
467,Central Savannah River Area,No,30824,3556,ZCTA,ZCTA5 30824,6642,257,797,295,12,4.4,1915,305,28.8,4.5,2106,303,31.7,4.4,1824,287,27.5,4.2,1.68867751845851,0.0518774652414486
468,Central Savannah River Area,No,30828,3557,ZCTA,ZCTA5 30828,1717,131,321,89,18.7,5,492,93,28.7,5,498,107,29,5.8,406,106,23.6,5.9,1.53076356642494,0.0343951109658851
469,Central Savannah River Area,No,30830,3558,ZCTA,ZCTA5 30830,4903,330,484,163,9.9,3.3,1510,319,30.8,6.2,1499,298,30.6,5.7,1410,269,28.8,5.1,2.69391922957759,0.0907304006121209
470,Central Savannah River Area,No,30833,3559,ZCTA,ZCTA5 30833,1465,159,251,111,17.1,7.4,434,123,29.6,7.8,484,144,33,9.1,296,124,20.2,8.2,0.817871748900164,0.0171005381662875
471,Central Savannah River Area,No,30901,3560,ZCTA,ZCTA5 30901,6220,262,2079,259,33.4,3.9,2486,288,40,4.3,1224,187,19.7,2.9,431,124,6.9,2,0.527005103864245,0.00539822900284299
472,Central Savannah River Area,No,30903,3561,ZCTA,ZCTA5 30903,302,146,0,18,0,6.1,106,109,35.1,31.8,141,113,46.7,29.7,55,70,18.2,21.4,0.028063749311439,4.26756312644672e-05
473,Central Savannah River Area,No,30904,3562,ZCTA,ZCTA5 30904,10041,470,1429,296,14.2,2.9,4783,506,47.6,4.5,2514,282,25,2.6,1315,234,13.1,2.2,0.334442524604438,0.00278297654808002
474,Central Savannah River Area,No,30905,3563,ZCTA,ZCTA5 30905,935,118,36,33,3.9,3.5,349,91,37.3,8.5,450,118,48.1,11,100,75,10.7,7.9,0.300964877910562,0.00352175991457617
